Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C22, C23, C4",0805,4,10uF,C15850
"C10, C11, C12, C13, C14, C15, C16, C17, C2, C24, C25, C6, C7, C8, C9",0402,15,100nF,C1525
"C18, C19, C20, C21",0603,4,100nF,C14663
C3,1206,1,47uF,C96123
C5,CP_EIA-3528-21_Kemet-B_HandSolder,1,100uF,C16133
"D1, D19, D20, D21, D22, D3, D5, D7, D9",0805,9,LED,
"D10, D11, D13, D15, D17, D4, D6, D8",D_SOD-123,8,1N4148W,C81598
"D12, D14, D16, D18",D_SMB_Handsoldering,4,SMBJ8.5A,
D2,SOT-23,1,SM712,C32677
FB1,0805,1,FerriteBead,
J1,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",1,Vin,
J2,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",1,MOTOR ESTEIRA,
J3,"TerminalBlock_Phoenix_PT-1,5-6-5.0-H_1x06_P5.00mm_Horizontal",1,MOTOR MAGAZINE,
J4,"TerminalBlock_Phoenix_PT-1,5-12-5.0-H_1x12_P5.00mm_Horizontal",1,SENSORS INTERFACE,
J5,"TerminalBlock_Phoenix_PT-1,5-3-5.0-H_1x03_P5.00mm_Horizontal",1,Modbus_485,
J7,"TerminalBlock_Phoenix_PT-1,5-6-5.0-H_1x06_P5.00mm_Horizontal",1,GP IN,
J8,"TerminalBlock_Phoenix_PT-1,5-12-5.0-H_1x12_P5.00mm_Horizontal",1,GP OUT,
J9,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",1,ZERO MAG,
"K1, K2, K3, K4",Relay_SPDT_SANYOU_SRD_Series_Form_C,4,Relé,
L1,L_TDK_SLF10165,1,"3,3uH",
"Q1, Q2, Q3, Q4",SOT-23,4,BSS138,
"R1, R18, R21, R24, R27, R37, R38, R39, R40",0805,9,2k7,
"R10, R11, R13, R14, R15, R16, R19, R22, R25, R28, R6, R7, R8, R9",0805,14,10k,
"R17, R20, R23, R26, R30, R32, R34, R36, R42",1206,9,390R,
"R2, R3, R4, R46, R5",0805,5,10k,C25804
"R29, R31, R33, R35",2010,4,866R,
"R41, R43, R44",0603,3,10k,C25804
R45,0805,1,56k,
SW1,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,1,SW_SPDT,
U1,SOT-23-6,1,TPS563201,
U10,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX485CSA,
U11,SOIC127P1030X265-16N,1,PCF8574DWR,
"U12, U13, U14, U15, U23",SMDIP-4_W9.53mm,5,LTV-817S,C109227
"U16, U17, U18, U19",SMDIP-4_W9.53mm,4,LTV-817,C109227
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U20,SSOP-24_5.3x8.2mm_P0.65mm,1,TB6612FNG,
U21,SOIC-16_3.9x9.9mm_P1.27mm,1,74HCT4053,C3007956
U22,SOT-23-5_HandSoldering,1,74LVC1G04,
"U3, U4, U7",TSSOP-20_4.4x6.5mm_P0.65mm,3,74HCT245PW,
"U5, U9",SOP65P490X110-8N,2,PCA9517ADP,C80799
U8,TSSOP-20_4.4x6.5mm_P0.65mm,1,SN74LVC245PW,
