Designator,Mid X,Mid Y,Rotation,Layer
C1,121.76,-85.682512,180.0,top
C10,113.1,-32.1,90.0,top
C11,67.12,-58.49,90.0,top
C12,73.68,-35.87,180.0,top
C13,56.35,-9.91,180.0,top
C14,72.741718,-51.5675,90.0,top
C15,72.75,-55.1575,90.0,top
C16,16.910713,-29.531876,270.0,top
C17,84.5,-57.92,0.0,top
C18,85.4,-93.5,180.0,top
C19,79.8,-93.5,180.0,top
C2,118.98,-80.112512,270.0,top
C20,111.5,-93.5,0.0,top
C21,105.9,-93.5,0.0,top
C22,104.8,-44.1,90.0,top
C23,110.858882,-39.5,0.0,top
C24,18.870713,-29.531876,270.0,top
C25,97.6,-0.5,90.0,top
C3,117.44,-85.692512,0.0,top
C4,16.8925,-9.54,90.0,top
C5,5.3425,-9.56,90.0,top
C6,116.93,-24.42,180.0,top
C7,74.22,-8.39,0.0,top
C8,79.92,-22.99,0.0,top
C9,105.5,-32.1,270.0,top
D1,124.923029,-76.332513,270.0,top
D10,69.4,-82.0,180.0,top
D11,91.4775,-103.9,180.0,top
D12,85.4,-100.0,270.0,top
D13,91.5225,-94.776,0.0,top
D14,79.8,-100.0,270.0,top
D15,99.7775,-94.772427,180.0,top
D16,111.5,-100.0,270.0,top
D17,99.8225,-103.895,0.0,top
D18,105.9,-100.0,270.0,top
D19,83.1,-70.8,0.0,top
D2,5.6625,-27.05,180.0,top
D20,91.5,-70.7,0.0,top
D21,99.8,-70.7,0.0,top
D22,108.2,-70.7,0.0,top
D3,14.3,-78.5,90.0,top
D4,16.0,-82.0,180.0,top
D5,32.1,-78.5,90.0,top
D6,33.8,-82.0,180.0,top
D7,50.0,-78.5,90.0,top
D8,51.6,-82.0,180.0,top
D9,67.7,-78.5,90.0,top
FB1,117.37,-75.212512,0.0,top
J1,125.5,-67.6,90.0,top
J2,125.53797,-47.1,90.0,top
J3,-5.5,-55.5,270.0,top
J4,59.931406,5.399375,180.0,top
J5,-5.3675,-27.0,270.0,top
J6,31.12,-11.65,180.0,top
J7,95.65613,-110.55613,0.0,top
J8,41.5,-110.5,0.0,top
J9,-5.38,-11.825874,270.0,top
JP2,101.9,-54.4,180.0,top
JP3,101.9,-51.8,180.0,top
JP4,101.9,-49.2,180.0,top
JP5,5.5625,-32.95,0.0,top
K1,14.74526,-93.57026,270.0,top
K2,32.554269,-93.599645,270.0,top
K3,50.346324,-93.585901,270.0,top
K4,68.175,-93.6,270.0,top
L1,120.44,-92.942512,180.0,top
NT1,125.5,-63.5,90.0,top
Q1,10.8,-81.1,90.0,top
Q2,28.5,-81.1,90.0,top
Q3,46.3,-81.1,90.0,top
Q4,64.1,-81.1,90.0,top
R1,124.92,-81.152512,90.0,top
R10,5.5625,-30.225,180.0,top
R11,5.5625,-23.875,0.0,top
R13,84.51,-55.1,270.0,top
R14,101.9,-60.7,0.0,top
R15,101.9,-58.7,0.0,top
R16,101.9,-56.7,0.0,top
R17,16.0,-68.0,0.0,top
R18,17.7,-78.5,90.0,top
R19,10.8,-77.6,180.0,top
R2,103.6,-32.2,270.0,top
R20,33.7,-68.0,0.0,top
R21,35.4,-78.5,90.0,top
R22,28.5,-77.6,180.0,top
R23,51.5,-68.0,0.0,top
R24,53.3,-78.5,90.0,top
R25,46.3,-77.6,180.0,top
R26,69.4,-68.0,0.0,top
R27,71.1,-78.5,90.0,top
R28,64.1,-77.6,180.0,top
R29,91.5,-100.702,180.0,top
R3,101.6,-32.9,270.0,top
R30,91.5,-97.524,0.0,top
R31,91.5,-91.578,180.0,top
R32,91.5,-88.4,0.0,top
R33,99.8,-91.574903,0.0,top
R34,99.8,-88.397379,180.0,top
R35,99.8,-100.697476,0.0,top
R36,99.8,-97.519952,180.0,top
R37,83.1,-68.1,180.0,top
R38,91.5,-68.1,180.0,top
R39,99.8,-68.1,180.0,top
R4,117.18,-32.91,270.0,top
R40,108.2,-68.1,180.0,top
R41,21.69,-0.19,180.0,top
R42,25.15,1.36,90.0,top
R43,12.724885,-0.175047,0.0,top
R44,61.68,-17.64,180.0,top
R45,121.54,-77.462512,180.0,top
R46,121.54,-75.212512,180.0,top
R5,114.972533,-32.2,270.0,top
R6,71.616718,-48.628158,180.0,top
R7,71.016718,-46.353158,180.0,top
R8,70.996718,-60.298158,180.0,top
R9,71.641718,-58.028158,180.0,top
SW1,101.8,5.4,180.0,top
U1,121.5875,-81.012512,270.0,top
U10,11.34,-27.04,180.0,top
U11,92.17,-53.47,180.0,top
U12,16.0,-73.0,180.0,top
U13,33.7,-73.0,180.0,top
U14,51.5,-73.0,180.0,top
U15,69.4,-73.0,180.0,top
U16,83.1,-78.9,90.0,top
U17,91.466667,-78.9,90.0,top
U18,99.833333,-78.9,90.0,top
U19,108.2,-78.9,90.0,top
U2,11.49,-9.54,270.0,top
U20,110.848882,-45.099983,90.0,top
U21,18.84,-22.6525,90.0,top
U22,101.8,-0.5,270.0,top
U23,17.26,4.17,180.0,top
U24,106.2,-20.09,270.0,top
U3,77.65,-12.93,270.0,top
U4,77.6275,-27.41,270.0,top
U5,109.3,-33.9,0.0,top
U6,36.22,-46.35184,90.0,top
U7,70.275,-40.375,270.0,top
U8,61.6575,-12.95,270.0,top
U9,69.95,-53.3625,270.0,top
